time_stamp, total time, scan point size, incremental time, search time, delete size, delete time, tree size st, tree size end, add point size, preprocess time
66.93500000,0.01174779,3768,0.00000853,0.00000000,0,0.00000077,10556,10556,5,0.00134062
67.03500000,0.01049242,3732,0.00001561,0.00000000,0,0.00000075,10556,10549,3,0.00137267
67.13500000,0.00845890,3749,0.00008775,0.00000000,0,0.00000042,10549,10532,25,0.00139475
67.23500000,0.00789566,3735,0.00014800,0.00000000,0,0.00000077,10532,10497,44,0.00182040
67.33500000,0.00858416,3794,0.00000603,0.00000000,0,0.00000064,10497,10497,4,0.00218059
67.43500000,0.00775256,3717,0.00001238,0.00000000,0,0.00000065,10497,10500,6,0.00218230
67.53500000,0.00822403,3777,0.00003654,0.00000000,0,0.00000048,10500,10509,13,0.00137516
67.63500000,0.00808002,3828,0.00008686,0.00000000,0,0.00000054,10509,10517,34,0.00134695
67.73500000,0.01203852,3748,0.00000442,0.00000000,0,0.00000078,10517,10517,2,0.00146202
67.83500000,0.01068892,3767,0.00003566,0.00000000,0,0.00000078,10517,10514,10,0.00137818
67.93500000,0.01087400,3783,0.00018151,0.00000000,0,0.00000111,10514,10488,31,0.00144685
68.03500000,0.01090905,3799,0.00002855,0.00000000,0,0.00000067,10488,10493,10,0.00136339
68.13500000,0.00856195,3780,0.00002180,0.00000000,0,0.00000050,10493,10499,10,0.00224362
68.23500000,0.00793044,3757,0.00004166,0.00000000,0,0.00000057,10499,10498,12,0.00222310
68.33500000,0.00824977,3770,0.00004273,0.00000000,0,0.00000043,10498,10507,16,0.00216284
68.43500000,0.00818899,3796,0.00001311,0.00000000,0,0.00000058,10507,10509,8,0.00233623
68.53500000,0.00717522,3717,0.00002133,0.00000000,0,0.00000049,10509,10511,7,0.00138891
68.63500000,0.00851474,3756,0.00001443,0.00000000,0,0.00000062,10511,10514,6,0.00137811
68.73500000,0.01061023,3739,0.00003290,0.00000000,0,0.00000072,10514,10519,6,0.00137879
68.83500000,0.01172116,3746,0.00003093,0.00000000,0,0.00000072,10519,10524,6,0.00210398
68.93500000,0.00947693,3749,0.00006997,0.00000000,0,0.00000085,10524,10548,31,0.00149482
69.03500000,0.01002338,3782,0.00001380,0.00000000,0,0.00000066,10548,10551,6,0.00135891
69.13500000,0.00793884,3797,0.00000413,0.00000000,0,0.00000054,10551,10552,2,0.00219602
69.23500000,0.00821568,3809,0.00001961,0.00000000,0,0.00000057,10552,10558,7,0.00231265
69.33500000,0.00801656,3787,0.00007210,0.00000000,0,0.00000054,10558,10565,27,0.00219448
69.43500000,0.00886337,3787,0.00000518,0.00000000,0,0.00000047,10565,10565,2,0.00233990
69.53500000,0.00782567,3739,0.00000221,0.00000000,0,0.00000053,10565,10565,1,0.00153130
69.63500000,0.00814123,3735,0.00003572,0.00000000,0,0.00000053,10565,10574,15,0.00143514
69.73500000,0.00794979,3793,0.00006100,0.00000000,0,0.00000042,10574,10566,20,0.00138384
69.83500000,0.00829570,3760,0.00002613,0.00000000,0,0.00000063,10566,10570,8,0.00136832
69.93500000,0.00774809,3718,0.00006728,0.00000000,0,0.00000072,10570,10581,24,0.00136051
70.03500000,0.01087441,3724,0.00020633,0.00000000,0,0.00000071,10581,10579,41,0.00144188
70.13500000,0.00851945,3767,0.00013628,0.00000000,0,0.00000057,10579,10569,47,0.00136069
70.23500000,0.00801148,3810,0.00009503,0.00000000,0,0.00000049,10569,10584,38,0.00147468
70.33500000,0.01197074,3786,0.00005074,0.00000000,0,0.00000058,10584,10565,7,0.00137043
70.43500000,0.01032120,3737,0.00001765,0.00000000,0,0.00000076,10565,10568,6,0.00239602
70.53500000,0.01129573,3779,0.00005133,0.00000000,0,0.00000073,10568,10569,10,0.00188624
70.63500000,0.00880012,3784,0.00004097,0.00000000,0,0.00000082,10569,10577,14,0.00138407
70.73500000,0.01113593,3735,0.00001003,0.00000000,0,0.00000074,10577,10578,2,0.00235764
70.83500000,0.00769054,3735,0.00002697,0.00000000,0,0.00000055,10578,10586,9,0.00218066
70.93500000,0.01093581,3751,0.00008210,0.00000000,0,0.00000070,10586,10587,28,0.00234129
71.03500000,0.00978544,3799,0.00010444,0.00000000,0,0.00000069,10587,10567,32,0.00242352
71.13500000,0.01034250,3770,0.00000560,0.00000000,0,0.00000068,10567,10567,3,0.00222861
71.23500000,0.00955912,3745,0.00000556,0.00000000,0,0.00000057,10567,10567,3,0.00145796
71.33500000,0.00977826,3779,0.00004181,0.00000000,0,0.00000058,10567,10565,18,0.00240795
71.43500000,0.01091875,3792,0.00001505,0.00000000,0,0.00000069,10565,10567,3,0.00150954
71.53500000,0.00732043,3792,0.00000759,0.00000000,0,0.00000057,10567,10567,6,0.00135731
71.63500000,0.01175102,3777,0.00001637,0.00000000,0,0.00000090,10567,10570,7,0.00135093
71.73500000,0.01059882,3733,0.00007268,0.00000000,0,0.00000069,10570,10559,12,0.00137420
71.83500000,0.00706696,3737,0.00014073,0.00000000,0,0.00000078,10559,10561,51,0.00225264
71.93500000,0.00853685,3782,0.00011368,0.00000000,0,0.00000062,10561,10587,47,0.00245527
72.03500000,0.00797654,3740,0.00007719,0.00000000,0,0.00000035,10587,10592,25,0.00217475
72.13500000,0.00858996,3758,0.00000675,0.00000000,0,0.00000053,10592,10593,3,0.00219106
